120,3.39
121,6.79
121,10.2
122,13.6
123,17
123,20.4
124,23.8
125,27.1
125,30.5
126,33.9
127,37.3
127,40.7
128,44.1
128,47.5
129,50.9
129,54.3
130,57.7
131,61.1
132,64.5
133,67.9
133,71.3
134,74.7
134,78.1
135,81.4
136,84.8
137,88.2
138,91.6
138,95
139,98.4
140,102
140,105
140,109
141,112
142,115
143,119
144,122
144,126
145,129
146,132
146,136
147,139
148,143
149,146
149,149
150,153
150,156
151,160
151,163
152,166
152,170
153,173
153,176
153,180
153,183
153,187
154,190
155,193
155,197
156,204
156,207
156,210
156,214
156,217
157,221
157,224
157,227
157,231
158,238
158,241
158,244
158,251
158,255
157,261
157,265
157,268
157,275
156,278
156,282
156,288
156,295
155,299
155,305
154,309
154,312
153,316
153,319
153,322
153,326
152,329
152,336
151,339
151,343
150,350
149,356
148,360
148,367
147,373
146,377
146,383
145,390
144,397
144,404
144,407
144,411
144,417
144,424
144,431
144,438
144,445
144,455
144,462
144,468
144,475
144,485
144,492
144,495
144,499
144,506
144,516
144,519
144,526
144,529
144,540
144,546
144,550
146,553
148,557
154,560
158,563
167,570
172,574
176,577
180,580
184,584
188,587
192,590
196,594
196,597
204,601
205,604
208,607
213,611
214,614
219,618
222,621
226,624
229,628
233,631
236,635
239,638
243,641
247,645
249,648
253,652
257,655
260,658
266,665
269,669
272,672
277,675
279,679
284,682
287,686
291,689
294,692
294,696
299,699
300,702
300,706
300,709
300,713
300,716
300,723
300,730
300,743
300,753
300,760
300,770
300,787
300,808
300,821
300,835
300,842
300,848
300,852
300,862
300,865
300,872
300,882
300,889
300,899
300,910
300,920
300,930
300,940
300,950
300,964
300,974
300,984
300,994
300,1000
300,1010
300,1020
300,1030
300,1040
300,1050
300,1060
300,1070
300,1080
300,1090
300,1100
300,1110
300,1120
300,1130
300,1140
300,1150
300,1160
300,1170
300,1180
300,1190
300,1200
300,1210
300,1220
300,1230
300,1240
300,1250
300,1270
300,1280
300,1290
300,1300
300,1310
300,1320
300,1330
300,1340
300,1350
300,1360
300,1370
300,1380
300,1390
300,1400
300,1410
300,1420
300,1430
300,1440
300,1460
300,1470
300,1480
300,1490
300,1500
